user_id,timestamp,longitude,latitude,video_id
570197,1430668800,116.42154,40.03606,109
294391,1430668800,116.14412,39.726334,906
281378,1430668800,116.3219,40.089973,12642
523921,1430668800,116.386986,39.991596,1568
35562,1430668800,116.38734,39.99191,143067
1148736,1430668800,116.29558,39.91757,1691
243756,1430668800,116.66619,39.898476,7830
175474,1430668800,116.57648,39.964443,4994
236342,1430668800,116.65062,40.338318,175
307757,1430668800,116.29581,39.88255,17770
228923,1430668800,116.35499,40.04447,124170
691978,1430668800,116.349495,39.78661,51382
49579,1430668800,116.63692,40.33579,182
1677257,1430668800,116.52941,39.94474,54531
344838,1430668800,115.76443,39.463898,31534
511562,1430668800,117.125404,40.171806,710
83582,1430668800,116.43601,39.92559,36
204013,1430668800,116.34561,40.127544,2639
3,1430668800,116.34802,39.96758,31423
302323,1430668800,116.42446,39.791435,48
1161886,1430668800,116.23101,40.121567,4050
27934,1430668800,116.431656,39.801895,7460
940027,1430668800,116.32613,39.637012,36
246460,1430668800,116.31778,39.768112,5242
501456,1430668800,116.29836,39.753635,39124
26672,1430668800,116.34264,39.738926,64
1,1430668800,116.365234,39.953987,6987
1541666,1430668800,116.50177,39.92793,352
24882,1430668800,116.31024,39.985794,3581
7932,1430668800,116.327866,39.65247,94431
294814,1430668800,116.23153,39.91666,47
281795,1430668800,116.47482,40.082806,18551
104440,1430668800,116.31301,40.234783,21829
960152,1430668800,116.32456,39.885754,62837
541563,1430668800,116.36913,39.820362,68
280944,1430668800,116.39412,39.90048,1814
287977,1430668800,116.25283,40.22151,96
308117,1430668800,116.283676,39.746273,39060
14797,1430668801,116.37752,39.709885,149018
1367729,1430668801,116.18324,40.26063,23969
166526,1430668801,116.646034,40.131294,55
240615,1430668801,116.30087,39.9745,6957
1112777,1430668801,116.35487,40.035076,175
1304776,1430668801,116.37382,39.907444,9626
1070,1430668801,116.56678,39.7616,8152
464347,1430668801,116.18794,39.75654,9202
103512,1430668801,116.44826,39.97976,144
44521,1430668801,116.836136,40.158863,5
17256,1430668801,116.20051,39.922413,155
1461735,1430668801,116.17014,39.926838,2235
270010,1430668801,116.25139,39.957,903
535057,1430668801,116.76169,40.08494,222
1463704,1430668801,116.68839,39.933247,175
1136457,1430668801,116.45436,39.928032,128
479871,1430668801,115.99332,39.704487,55
419018,1430668801,116.27936,40.12462,9307
309234,1430668801,116.34963,40.064373,271554
203007,1430668801,116.56451,39.76053,248
185748,1430668801,116.33867,39.970695,453
736747,1430668801,116.36958,40.01145,220
298444,1430668801,116.37265,39.85541,47
1996,1430668801,116.56976,39.948605,244
231996,1430668801,115.599174,39.637527,9684
867747,1430668801,116.47937,39.881016,244486
449030,1430668801,116.31192,39.870293,218703
28804,1430668801,116.77351,39.83316,19051
366501,1430668801,116.10349,40.109764,107
245367,1430668801,116.36061,40.03578,95594
526918,1430668801,116.510345,39.90211,6344
60579,1430668801,116.35185,40.103874,9569
324142,1430668801,116.27563,39.453194,7840
293003,1430668801,116.28615,39.934944,584
